strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Oman/RESP-20-4400/2020	EPI_ISL_457990		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/NewZealand/20VR1900/2020	EPI_ISL_456301	MZ332063.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/SouthKorea/KCDC2193/2020	EPI_ISL_506987		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/Jordan/SR-0338/2020	EPI_ISL_450189		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
hCoV-19/Australia/SA0444/2020	EPI_ISL_508135		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Qatar/QA-QU_02-3-32/2020	EPI_ISL_1712714		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/Australia/TAS103/2020	EPI_ISL_522569		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/USA/MA1/2020	EPI_ISL_409067	MT039888.1	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al (https://dx.doi.org/10.1101/2020.03.09.20032896)
hCoV-19/Shanghai/SH0050/2020	EPI_ISL_416358		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
hCoV-19/Finland/13M79/2020	EPI_ISL_418398		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
hCoV-19/Ireland/D-20G31531/2020	EPI_ISL_848151		National Virus Reference Laboratory	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway	Kate Reddington et al
hCoV-19/Guangdong/GDFS2020054-P0005/2020	EPI_ISL_413850		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
hCoV-19/Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
hCoV-19/Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
hCoV-19/Mali/INSP480/2021	EPI_ISL_2672330		INSP, Bamako	Malaria Research and Training Center-Parasito	Antoine Dara et al
hCoV-19/Togo/C6783/2021	EPI_ISL_1509102		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
hCoV-19/BurkinaFaso/151/2021	EPI_ISL_2227198		Laboratoire d'analyse biomédicale du camp Ouezzin Coulibaly	Centre Muraz	Yacouba Sawadogo et al
hCoV-19/Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	MT192759.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
hCoV-19/Curacao/CW-RIVM-10308/2020	EPI_ISL_636492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Canada/MB-NML-841/2020	EPI_ISL_582332		Cadham Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Australia/NSW08/2020	EPI_ISL_413594		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/Indonesia/JB-EIJK41/2020	EPI_ISL_574612		RS Hermina Mekarsari	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
hCoV-19/Indonesia/JI-ITD-150Sp/2020	EPI_ISL_529962		Universitas Airlangga Hospital	Institute of Tropical Disease, Universitas Airlangga	Jezzy R Dewantari et al
hCoV-19/Vietnam/HCMC-05007/2020	EPI_ISL_498178		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Indonesia/JI-ITD-3101NT/2020	EPI_ISL_458083		Adi Husada Undaan Hospital	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
hCoV-19/Iraq/BAS-2/2020	EPI_ISL_907075	MW546610.1	Department of Biology, University of Basrah	Department of Biology, University of Basrah	Abu-Ali et al
hCoV-19/Thailand/CU-SI2011588-NT/2020	EPI_ISL_937535		Thai Red Cross Emerging Infectious Diseases Health Science Centre, Chulalongkorn Hospital, Faculty of Medicine, Chulalongkorn University	Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University	Opass Putcharoen et al
hCoV-19/NewZealand/20VR0174/2020	EPI_ISL_413490	MZ331872.1	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al B (https://dx.doi.org/10.1101/2020.03.15.992818)
hCoV-19/Canada/Qc-LSPQ-L00210314/2020	EPI_ISL_535716		Hôpital de Verdun	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/Bahrain/BAH-15/2020	EPI_ISL_483556		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Iran/GRC-4/2020	EPI_ISL_2693972		Virology Centre, School of public health, Tehran University of Medical Sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/Iran/Tehran-09/2020	EPI_ISL_862077		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al
hCoV-19/Oman/RESP-20-837/2020	EPI_ISL_457704		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Kuwait/KU18/2020	EPI_ISL_416543		Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla et al
hCoV-19/Oman/RESP-20-797/2020	EPI_ISL_457701		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Japan/PG-0362/2020	EPI_ISL_480032		Tochigi Prefectural Institute of Public Health and Environmental Science	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
hCoV-19/Australia/SA0097/2020	EPI_ISL_468039		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Australia/WA34/2020	EPI_ISL_470851		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
hCoV-19/Indonesia/JK-EIJK48/2020	EPI_ISL_574617		RS Kramat 128	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
hCoV-19/Australia/NT04/2020	EPI_ISL_419833		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
hCoV-19/Philippines/PH-RITM-0020/2020	EPI_ISL_491474		Research Institute for Tropical Medicine	Research Institute for Tropical Medicine	Ma. Angelica Tujan et al
hCoV-19/Malaysia/IMR_WC80558/2020	EPI_ISL_490095		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al
hCoV-19/NewZealand/20CV0306/2020	EPI_ISL_622799		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Pakistan/AKUs21/2020	EPI_ISL_2629943	MT731277.1	Pathology and Laboratory Medicine, Aga Khan University	Pathology and Laboratory Medicine, Aga Khan University	Ghanchi et al
hCoV-19/Philippines/PH-RITM-0065/2020	EPI_ISL_3105872		Taguig City Health Office	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Philippines/PH-RITM-0072/2020	EPI_ISL_3105879		Taguig-Pateros District Hospital	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Timor-Leste/TL17/2020	EPI_ISL_456605	MT612288.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
hCoV-19/Timor-Leste/TL14/2020	EPI_ISL_456601	MT612285.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
hCoV-19/Singapore/1288/2020	EPI_ISL_648773		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
hCoV-19/Singapore/712/2020	EPI_ISL_498610		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/571/2020	EPI_ISL_483594		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/714/2020	EPI_ISL_498612		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/464/2020	EPI_ISL_475995		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/690/2020	EPI_ISL_498588		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Myanmar/MMC_137/2020	EPI_ISL_512844		Department of Medical Research	DMR_Myanmar	Myat Htut Nyunt et al
hCoV-19/Malaysia/UiTM-2601/2020	EPI_ISL_807150		Makmal Kesihatan Awam Kebangsaan, Kementerian Kesihatan Malaysia.	Integrative Pharmacogenomics Institute (iPROMISE)	Mohd Zaki Salleh et al
hCoV-19/SierraLeone/KGH-G-8604/2020	EPI_ISL_512814	MT872493.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
hCoV-19/Australia/QLD1361/2020	EPI_ISL_849692		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/PapuaNewGuinea/3/2020	EPI_ISL_693473		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/4/2020	EPI_ISL_693474		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Australia/QLD992/2020	EPI_ISL_530252		Queensland Health Forensic and Scientific Services, Public Health Virology	Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health	Son Nguyen et al
hCoV-19/PapuaNewGuinea/11/2020	EPI_ISL_693481		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/12/2020	EPI_ISL_693482		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/14/2020	EPI_ISL_1307639		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/12/2021	EPI_ISL_1322329		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/50/2020	EPI_ISL_1322325		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Australia/VIC17/2020	EPI_ISL_419736		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/UnitedArabEmirates/skmc-920569110/2020	EPI_ISL_582126		Sheikh Khalifa Medical City	Molecular Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
hCoV-19/SouthKorea/KCDC2062/2020	EPI_ISL_497963		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/India/MH-1-31/2020	EPI_ISL_413523		Indian Council of Medical Research-National Institute of Virology	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
hCoV-19/HongKong/HKU-907b/2020	EPI_ISL_434568	MT114417.1		Microbiology, The University of Hong Kong	To et al
hCoV-19/USA/CA-CDPH018/2020	EPI_ISL_515911		California Department of Public Health	California Department of Public Health	CDPH IDLB COVIDNet et al
hCoV-19/Panama/329694/2020	EPI_ISL_496643		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
hCoV-19/Australia/NSW2137/2020	EPI_ISL_500626		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
hCoV-19/USA/WA-S685/2020	EPI_ISL_449855	MT641636.1	Washington State Department of Health	Seattle Flu Study	Chu et al
hCoV-19/Australia/QLD1078/2020	EPI_ISL_593597		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Venezuela/1Z/2020	EPI_ISL_1577817		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
hCoV-19/NewZealand/20CV0308/2020	EPI_ISL_622788		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Australia/TAS166/2020	EPI_ISL_522621		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/TAS97/2020	EPI_ISL_522767		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/NewZealand/20VR2038/2020	EPI_ISL_456343	MZ332157.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/Australia/SA0286/2020	EPI_ISL_467998		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/EquatorialGuinea/253/2020	EPI_ISL_648318		Laboratorio de Investigaciones de Baney	University Hospital Basel, Clinical Bacteriology	Carlos Cortes et al
hCoV-19/Netherlands/FL-RIVM-10198/2020	EPI_ISL_804386		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Panama/GMI-PA369147/2020	EPI_ISL_1225442		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Guatemala/ASI4170/2021	EPI_ISL_3527824		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Panama/GMI-PA653190/2021	EPI_ISL_1502981		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
hCoV-19/Panama/GMI-PA571783/2020	EPI_ISL_1225574		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/CostaRica/INC-0296/2021	EPI_ISL_1379392		HOSPITAL CIUDAD NEILY	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0778/2021	EPI_ISL_3037812		AREA DE SALUD BAGACES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0704/2021	EPI_ISL_2827974		HOSPITAL SAN JUAN DE DIOS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0673/2021	EPI_ISL_2658270		HOSPITAL MONSEÑOR SANABRIA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0763/2021	EPI_ISL_3037796		HOSPITAL LA ANEXION	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0730/2021	EPI_ISL_2828000		AREA DE SALUD GARABITO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0811/2021	EPI_ISL_3037842		HOSPITAL LA ANEXION [NICOYA/GUANACASTE]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Honduras/CM-USAFSAM-S4220/2021	EPI_ISL_3375856		US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/CostaRica/INC-0639/2021	EPI_ISL_2502737		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0646/2021	EPI_ISL_2502744		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/Mexico/TAM-InDRE_FB18135_S4247/2021	EPI_ISL_2937929		LESP Tamaulipas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Guatemala/ASI4092/2021	EPI_ISL_3527801		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/NewZealand/21MV0416/2021	EPI_ISL_2103200		Waikato Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Mexico/SON-InDRE_FB16807_S2912/2021	EPI_ISL_2545812		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/SON-InDRE_FB18273_S4255/2021	EPI_ISL_2937831		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Guatemala/ASI4175/2021	EPI_ISL_3527827		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4173/2021	EPI_ISL_3527826		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Guatemala/ASI4071/2021	EPI_ISL_3527794		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Mexico/QUE-InDRE-18/2020	EPI_ISL_455456		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Rodriguez-Maldonado Abril et al
hCoV-19/Bolivia/26958/2020	EPI_ISL_837576		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
hCoV-19/Germany/HH-hpi-p2394/2020	EPI_ISL_776469		University Medical Center Hamburg Eppendorf	Heinrich Pette Institute, Leibniz Institute for Experimental Virology	Alexis Robitaille et al
hCoV-19/Egypt/ARMY-273/2021	EPI_ISL_1936128		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/Australia/VIC07/2020	EPI_ISL_416415		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Australia/QLD01/2020	EPI_ISL_407894		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al A
hCoV-19/Australia/QLD03/2020	EPI_ISL_410717		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
hCoV-19/India/MH-NIV-5109/2020	EPI_ISL_452204		NIV Influenza	NIV Influenza	Potdar V et al B
hCoV-19/SierraLeone/KGH-G-8626/2020	EPI_ISL_512817	MT872492.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
hCoV-19/Senegal/618/2020	EPI_ISL_420077		Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
hCoV-19/Niger/1466/2020	EPI_ISL_2835623		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Niger/73/2020	EPI_ISL_2835622		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Mali/M002644/2020	EPI_ISL_487450		CICM-Mali	Bundeswehr Institut of Microbiology	Kouriba et al
hCoV-19/Coted-Ivoire/BKE0447/2020	EPI_ISL_681837		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/Coted-Ivoire/COV-BKE1405/bc38/2020	EPI_ISL_1663661		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/BurkinaFaso/2163/2020	EPI_ISL_660512		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
hCoV-19/BurkinaFaso/LNRFHV_774/2020	EPI_ISL_2686241		Laboratoire National de Référence pour les Fièvres Hémorragiques Virales, Centre Muraz	Centre Muraz	Arsène Zongo et al
hCoV-19/Togo/BMC-16660-20/2020	EPI_ISL_1433132		Institut National d'Hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
hCoV-19/Niger/ZR-188/2020	EPI_ISL_2835635		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
